F,S0,I,V
25, 17.38, 5, 40.1204
25, 17.38, 10, 40.116
25, 17.38, 15, 40.1166
25, 17.38, 20, 40.1168
25, 17.38, 25, 40.1166
25, 17.38, 30, 40.1164
25, 17.38, 35, 40.1162
25, 17.38, 40, 40.1161
25, 17.38, 45, 40.1161
25, 17.38, 50, 40.116
25, 17.38, 55, 40.116
25, 17.38, 60, 40.116
25, 17.38, 65, 40.116
25, 17.38, 70, 40.116
25, 17.38, 75, 40.116
25, 17.38, 80, 40.1159
25, 17.38, 85, 40.1159
25, 17.38, 90, 40.1159
25, 17.38, 95, 40.1159
25, 17.38, 100, 40.1159
25, 17.38, 105, 40.1159
25, 17.38, 110, 40.1159
25, 17.38, 115, 40.1159
25, 17.38, 120, 40.1159
25, 17.38, 125, 40.1159
25, 17.38, 130, 40.1159
25, 17.38, 135, 40.1159
25, 17.38, 140, 40.1159
25, 17.38, 145, 40.1159
25, 17.38, 150, 40.1159
25, 17.38, 155, 40.1159
25, 17.38, 160, 40.1159
25, 17.38, 165, 40.1159
25, 17.38, 170, 40.1159
25, 17.38, 175, 40.1159
25, 17.38, 180, 40.1159
25, 17.38, 185, 40.1159
25, 17.38, 190, 40.1159
25, 17.38, 195, 40.1159
25, 17.38, 200, 40.1159
25, 17.38, 205, 40.1159
25, 17.38, 210, 40.1159
25, 17.38, 215, 40.1159
25, 17.38, 220, 40.1159
25, 17.38, 225, 40.1159
25, 17.38, 230, 40.1159
25, 17.38, 235, 40.1159
25, 17.38, 240, 40.1159
25, 17.38, 245, 40.1159
25, 17.38, 250, 40.1159
25, 17.38, 255, 40.1159
25, 17.38, 260, 40.1159
25, 17.38, 265, 40.1159
25, 17.38, 270, 40.1159
25, 17.38, 275, 40.1159
25, 17.38, 280, 40.1159
25, 17.38, 285, 40.1159
25, 17.38, 290, 40.1159
25, 17.38, 295, 40.1159
25, 17.38, 300, 40.1159
25, 17.38, 305, 40.1159
25, 17.38, 310, 40.1159
25, 17.38, 315, 40.1159
25, 17.38, 320, 40.1159
25, 17.38, 325, 40.1159
25, 17.38, 330, 40.1159
25, 17.38, 335, 40.1159
25, 17.38, 340, 40.1159
25, 17.38, 345, 40.1159
25, 17.38, 350, 40.1159
25, 17.38, 355, 40.1159
25, 17.38, 360, 40.1159
25, 17.38, 365, 40.1159
25, 17.38, 370, 40.1159
25, 17.38, 375, 40.1159
25, 17.38, 380, 40.1159
25, 17.38, 385, 40.1159
25, 17.38, 390, 40.1159
25, 17.38, 395, 40.1159
25, 17.38, 400, 40.1159
25, 17.38, 405, 40.1159
25, 17.38, 410, 40.1159
25, 17.38, 415, 40.1159
25, 17.38, 420, 40.1159
25, 17.38, 425, 40.1159
25, 17.38, 430, 40.1159
25, 17.38, 435, 40.1159
25, 17.38, 440, 40.1159
25, 17.38, 445, 40.1159
25, 17.38, 450, 40.1159
25, 17.38, 455, 40.1159
25, 17.38, 460, 40.1159
25, 17.38, 465, 40.1159
25, 17.38, 470, 40.1159
25, 17.38, 475, 40.1159
25, 17.38, 480, 40.1159
25, 17.38, 485, 40.1159
25, 17.38, 490, 40.1159
25, 17.38, 495, 40.1159
25, 17.38, 500, 40.1159
